Unnamed: 0,album_name
644,"If We Go Down, We Will Go Together!"
645,Rogue Taxidermy
646,Chill Out Covers - Chillout Covers - Chill Acoustic - Relaxing Songs - Calming Acoustic Songs
647,Bridge City Sinners
648,Chad Hates George
649,Positive Songs For Negative People
650,0
651,Careless Whisper
652,Look After You
653,"Golden Covers, Vol. 2"
654,When the Party's Over
655,Sound The Alarm
656,Photograph
657,Not Nearly Dark
658,Iris
659,Let's Stay Young
660,AKIRA
661,The Drifter and the Gypsy
662,Let It Go
663,I Wanna Be Your Ghost (feat. Ghosts)
664,約束の丘
665,Stranger Songs
666,Know.
667,Easy on Me
668,Ukulele Songs
669,Closer
670,One Last Breath
671,The Civil Wars
672,Classical Guitar Lullabies Volume 1
673,Lights Out
674,Love Is a Four Letter Word
675,Jungle Blues
676,milk tea/美しき花
677,Bossa Best
678,世界中の誰よりきっと
679,Eye To The Telescope
680,Georgica Pond
681,Coming Home: A Collection of Songs
682,Getting Ready... (World)
683,Neighbor
684,Magic
685,The Oogle Deathmachine
686,England Keep My Bones (Deluxe Edition)
687,Eye To The Telescope
688,Into The Wild (Music For The Motion Picture)
689,England Keep My Bones (Deluxe Edition)
690,Rogue Taxidermy
691,Carencro
692,Bridge City Sinners
693,Bridge City Sinners
694,FTHC (Deluxe)
695,Pinocchio Pariah
696,Crustfall
697,Country Holiday
698,Happy Country Christmas
699,Chillin' It - Mellow Day Country
700,Over You (Deluxe Edition)
701,THATS WHAT I WANT (Acoustic)
702,Dynamite (Acoustic)
703,Hallelujah
704,Lovers & Fighters
705,ダブルドライブ
706,"Cover Sessions, Vol. 3"
707,Matinée
708,Guitar Covers
709,When the Morning Comes
710,深呼吸
711,MONOVISION
712,Heard that there's good pasta
713,"The ""Hits"" | Acoustic"
714,River Love
715,Know.
716,"Cover Sessions, Vol. 4"
717,SUPERMARKET
718,Acustic Covers of Popular Songs
719,Dear Happy
720,#Acoustic
721,1000 Years
722,Amidst the Chaos (Bonus Version)
723,Bossa Best
724,Between The Bars (EP)
725,"Plays the Blues for You (feat. Lucky Peterson, Titus Williams, Ray ""Killer"" Allison) [Blues Power]"
726,"Cover Songs, #1"
727,youth
728,Serious
729,ROUTE to ROOTS
730,Waiting for My Rocket to Come
731,Curtains
732,Ate Sandali
733,I Never Loved Before I Found You
734,Olly Olly
735,Regicide
736,Whole Again
737,Love Love Love
738,One Last Big Job
739,IX
740,Rogue Taxidermy
741,The Best Of
742,Christmas Island
743,Live the Dream
744,7 Inches of Hell
745,FTHC (Deluxe)
746,FTHC (Deluxe)
747,Chill Out Covers - Chillout Covers - Chill Acoustic - Relaxing Songs - Calming Acoustic Songs
748,The Oogle Deathmachine
749,Positive Songs For Negative People
750,青春のエキサイトメント
751,FUSHIGI
752,Bad News Is Coming
753,I Mean Love
754,Miss You
755,Black Bear
756,Doraemon
757,Landslide
758,I'd Rather Be With You
759,Leave The Door Open (Acoustic)
760,Blue Bike
761,Use Somebody (Acoustic)
762,Montage Of Heck: The Home Recordings (Deluxe Soundtrack)
763,What About Us (Acoustic)
764,Ball n' Chain
765,Turn To Stone
766,Drawn by the Wind (Arr. for Guitar)
767,Animal Evolve
768,Memories (Acoustic)
769,A Matter of Time
770,Simple
771,Now That's What I Call Music 2012-13
772,Suitcase
773,Covers - Chill Covers Of Popular Songs
774,"Plays the Blues for You (feat. Lucky Peterson, Titus Williams, Ray ""Killer"" Allison) [Blues Power]"
775,あの歌-2-
776,English Rain
777,Amos Lee
778,Without People
779,Kaleidoscope Heart
780,Covers - Chill Covers Of Popular Songs
781,The Weakness In Me
782,Honey
783,A Million Miles Away
784,Into The Wild (Music For The Motion Picture)
785,The Inevitable Train Wreck
786,Diamonds
787,Into The Wild (Music For The Motion Picture)
788,Good People
789,FTHC (Deluxe)
790,The Blueprint Sessions
791,Only God Can Judge Me and More
792,We Can Do Anything
793,Only God Can Judge Me and More
794,The Great Depression
795,Chill Out Covers - Chillout Covers - Chill Acoustic - Relaxing Songs - Calming Acoustic Songs
796,Songs We Recorded for Splits
797,The Gathering
798,In These Silent Days
799,Bacchanal 'N' Philadelphia
800,YELLOW DANCER
801,Sweet but Psycho
802,I'm the One (Acoustic)
803,Dear Happy
804,Horizons
805,黄金の月
806,It Would Be You
807,As It Was (Acoustic Instrumental)
808,Sweet Child O' Mine (Acoustic)
809,Beyond The Sea
810,Have I Told You Lately That I Love You (Acoustic)
811,The Soul
812,さくら (二〇一九)
813,Homeland
814,Covers & Co-writes
815,Covers EP
816,BREAK MY SILENCE
817,Sugar and Spite
818,What If We Rewrite The Stars
819,"Cover Sessions, Vol. 4"
820,A Million Dreams (Acoustic)
821,Falling into your eyes Record
822,青春のエキサイトメント
823,"Cover Sessions, Vol. 3"
824,Paperweight by Joshua Radin and Schuyler Fisk
825,Meant to Be
826,Paasa
827,Up Until Now
828,あいのわ
829,"Mush Acoustic Love Hits, Vol. 4"
830,I Dream of You: CALM
831,The Essential Little Walter
832,Catch Me If You Can
833,Leavetaking
834,Chill Out Covers - Chillout Covers - Chill Acoustic - Relaxing Songs - Calming Acoustic Songs
835,"Don't Think Twice, It's All Right (Acoustic)"
836,"Mush Acoustic Love Hits, Vol. 4"
837,Love Is a Four Letter Word
838,Eye To The Telescope
839,Ward Off the Vultures
840,In Love With Bacharach
841,Into The Wild (Music For The Motion Picture)
842,Straight to the Bottom: Back to the Bottom
843,The Bible 2
844,FTHC (Deluxe)
845,The Second Three Years
846,"What We Want, What We Get"
847,Rogue Taxidermy
848,Pipe Dream
849,Bad News
850,POP VIRUS
851,All Too Well (Jake's Version)
852,Dilemma
853,Dear Happy
854,Kiss Me
855,Teenage Dream
856,Searching for the Same Thing
857,All Falls Down
858,This Is Love
859,#Covers
860,I Will Wait
861,Always Be My Baby
862,Jocelyn Flores (Acoustic Guitar)
863,Use Somebody (Acoustic Version)
864,As Long as You Love Me
865,Lead Balloon
866,Acustic Covers of Popular Songs
867,ショッピング
868,Party of One (feat. Sam Smith)
869,HUMAN
870,Us
871,PEACE OUT
872,純風
873,"Cover Sessions, Vol. 2"
874,I Never Loved Before I Found You
875,Evergreen
876,The Weakness In Me
877,Earthling
878,The Howl
879,Art of Acoustic: Soft Instrumental Covers & Classical Guitar
880,Into The Wild (Music For The Motion Picture)
881,Howlin' Wolf
882,Diamonds
883,Good Luck Everybody
884,IX
885,A Johnnyswim Christmas
886,Chill Vibes - Just Chill & Relax - Relaxing Covers Songs - Chill Pop Music Hits - Chill Music - Chill Songs - Chilled - Chill Out Pop - Chillout Music - Best Chill Songs - Acoustic Chill
887,100 Greatest Christmas Songs Ever (Top Xmas Pop Hits)
888,Night Gaunts / Days N Daze Split
889,Enter The Danger Brigade
890,Finch
891,Live the Dream
892,Songs from the Lowdown
893,At War With The Silverfish
894,Feather River Canyon Blues
895,Treehouse
896,Horrorful
897,Skin Deep Deluxe Version
898,Tape Deck Heart (Deluxe Edition)
899,Queer As Folk
900,#Covers
901,Stuck with U (Acoustic)
902,Covers
903,Yakap
904,Sunflower
905,Hollywood's Bleeding
906,Without You
907,Midnight Waves
908,Barton Hollow
909,#Covers
910,E
911,Devon or Las Vegas
912,Moth To A Flame (Acoustic Instrumental)
913,"Cover Sessions, Vol. 5"
914,Twenty Something
915,"Cover Sessions, Vol. 2"
916,Darkness Within
917,Ikaw Lamang
918,Lights Out
919,The Space Between Us (Original Motion Picture Soundtrack)
920,(I Just) Died In Your Arms [Acoustic]
921,Chicago Bound
922,化身
923,Future Throwback
924,あの歌-2-
925,MONOVISION
926,Acoustic Lullaby
927,Afterglow (Stephan Baulig Remix)
928,To the Wind
929,When I'm With You
930,あいのわ
931,I've Got A Rock In My Sock
932,Is There Anybody Out There? - Track by Track Commentary
933,JOHNNYSWIM
934,Study Music - Música Para Estudiar - Study Session - Study Acoustic Music - Study Relaxing Music
935,One Week Record
936,Only God Can Judge Me and More
937,Acoustic
938,Christmas Island
939,Split EP
940,Chill Out Covers - Chillout Covers - Chill Acoustic - Relaxing Songs - Calming Acoustic Songs
941,Show Me the Blueprints.
942,The Best Of Cannon's Jug Stompers
943,England Keep My Bones (Deluxe Edition)
944,Chill Music - Chill Songs - Chill Vibes - Acoustic Chill - Chillout Lounge
945,Chad Hates George
946,Add It Up (1981-1993)
947,S.O.S. 2: Save Our Soul: Soul on a Mission
948,Chill Out Covers - Chillout Covers - Chill Acoustic - Relaxing Songs - Calming Acoustic Songs
949,Honesty Lives Elsewhere
950,Mood (Acoustic)
951,YES!
952,Issues
953,Pink Sky Moon
954,Hold On
955,#Covers
956,Beautiful Girls
957,Something Beautiful
958,Right Here Waiting
959,Muniesa
960,Demo Love
961,"Cover Sessions, Vol. 2"
962,With or Without You
963,深夜高速 -生きててよかったの集い-
964,She's The Song (Acoustic)
965,生きてることが辛いなら
966,Let There Be Morning (Bonus Track Version)
967,LION
968,Life's What You Make It
969,"Acoustic Guitar Covers, Vol. 3"
970,Tenboom
971,伝言
972,"Cover Sessions, Vol. 5"
973,Acustic Covers of Popular Songs
974,帰ってから、歌いたくなってもいいようにと思ったのだ。
975,招待状のないショー
976,PLAY
977,Spark. Burn. Fade.
978,Cried Like A Baby
979,Violent Femmes
980,帰ってから、歌いたくなってもいいようにと思ったのだ。
981,Si Te Vas
982,I Never Loved Before I Found You
983,To-Do Lists (Color Coded)
984,陽水II センチメンタル (Remastered 2018)
985,Covers - Chill Covers Of Popular Songs
986,In Love With Bacharach
987,Horrorful
988,The Shreds
989,Miranda
990,"Of Peace, Quiet and Monsters"
991,FTHC (Deluxe)
992,Hallowed Ground
993,Ward Off the Vultures
994,Show Me the Blueprints.
995,Wretched. Filthy. Ugly.
996,The Essential Taj Mahal
997,Treehouse
998,Covering Ground
999,Songbook
1000,Jireh (My Provider)
1001,Ainda Há Tempo
1002,Fellini
1003,Nó na Orelha
1004,Espiral de Ilusão
1005,Sobre Viver
1006,Ainda Há Tempo
1007,Terapia
1008,Hola Chicuelos
1009,Ainda Há Tempo
1010,Nó na Orelha
1011,Ainda Há Tempo
1012,Ainda Há Tempo
1013,ATO 1: Navio Pirata
1014,Ainda Há Tempo
1015,Sobre Viver
1016,Milonga de Ojos Dorados (Alfredo Zitarrosa) [Live on Pardelion Music]
1017,Ainda Há Tempo
1018,Criolo E Emicida Ao Vivo (Live)
1019,Ainda Há Tempo
1020,OXEAXEEXU
1021,Duas Cidades
1022,Nó na Orelha
1023,Criolo E Emicida Ao Vivo (Live)
1024,Sobre Viver
1025,Nó na Orelha
1026,La Makinita
1027,Sobre Viver
1028,Espiral de Ilusão
1029,Sobre Viver
1030,La Makinita
1031,Viva Tim Maia
1032,Criolo E Emicida Ao Vivo (Live)
1033,Madurar
1034,Espiral de Ilusão
1035,Convoque Seu Buda
1036,La Makinita
1037,Nó na Orelha
1038,Espiral de Ilusão
1039,Duas Cidades
1040,Duas Cidades
1041,Convoque Seu Buda
1042,Convoque Seu Buda
1043,Espiral de Ilusão
1044,Espiral de Ilusão
1045,Espiral de Ilusão
1046,Espiral de Ilusão
1047,Criolo E Emicida Ao Vivo (Live)
1048,Criolo E Emicida Ao Vivo (Live)
1049,The Keyboard King at Studio One
1050,Ahetuk
1051,The Exciting Sounds of Menahan Street Band
1052,Etérea
1053,Cabeça de Papel
1054,Invisível
1055,Toma Tu Jabón Kapax
1056,Fogo (Versão Estendida)
1057,ATO 1: Navio Pirata
1058,Mediterráneo
1059,Viva Tim Maia
1060,Futuro Dub
1061,Forasteiro
1062,Hola Chicuelos
1063,Madurar
1064,Commercial
1065,Nenhuma Dor
1066,Povo Guerreiro
1067,O Futuro Não Demora
